INFO:proto.runtime:starting compilation -- Time == 1447938723855
INFO:proto.runtime:compilation finished -- Time == 1447938723963
INFO:proto.runtime:compilation DURATION == 108
INFO:openflow.discovery:link detected: 00-00-00-00-00-01.2 -> 00-00-00-00-00-21.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-11.1 -> 00-00-00-00-00-0f.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-12.1 -> 00-00-00-00-00-13.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-12.2 -> 00-00-00-00-00-1a.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-12.3 -> 00-00-00-00-00-02.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-13.3 -> 00-00-00-00-00-12.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-13.1 -> 00-00-00-00-00-14.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-13.2 -> 00-00-00-00-00-17.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-14.3 -> 00-00-00-00-00-13.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-14.1 -> 00-00-00-00-00-15.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-14.2 -> 00-00-00-00-00-16.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-15.1 -> 00-00-00-00-00-14.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-16.1 -> 00-00-00-00-00-14.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-17.3 -> 00-00-00-00-00-13.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-17.1 -> 00-00-00-00-00-18.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-17.2 -> 00-00-00-00-00-19.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-18.1 -> 00-00-00-00-00-17.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1a.1 -> 00-00-00-00-00-1b.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-19.1 -> 00-00-00-00-00-17.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-1a.3 -> 00-00-00-00-00-12.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-1a.2 -> 00-00-00-00-00-1e.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-1b.3 -> 00-00-00-00-00-1a.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1b.1 -> 00-00-00-00-00-1c.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1b.2 -> 00-00-00-00-00-1d.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1c.1 -> 00-00-00-00-00-1b.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1d.1 -> 00-00-00-00-00-1b.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-1e.3 -> 00-00-00-00-00-1a.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-1e.1 -> 00-00-00-00-00-1f.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1e.2 -> 00-00-00-00-00-20.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-1f.1 -> 00-00-00-00-00-1e.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-20.1 -> 00-00-00-00-00-1e.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-21.3 -> 00-00-00-00-00-01.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-21.1 -> 00-00-00-00-00-22.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-21.2 -> 00-00-00-00-00-31.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-22.3 -> 00-00-00-00-00-21.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-22.2 -> 00-00-00-00-00-2a.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-22.1 -> 00-00-00-00-00-23.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-23.2 -> 00-00-00-00-00-27.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-23.3 -> 00-00-00-00-00-22.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-24.1 -> 00-00-00-00-00-25.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-24.3 -> 00-00-00-00-00-23.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-24.2 -> 00-00-00-00-00-26.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-25.1 -> 00-00-00-00-00-24.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-26.1 -> 00-00-00-00-00-24.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-27.3 -> 00-00-00-00-00-23.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-27.1 -> 00-00-00-00-00-28.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-28.1 -> 00-00-00-00-00-27.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-29.1 -> 00-00-00-00-00-27.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-2a.3 -> 00-00-00-00-00-22.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-2a.2 -> 00-00-00-00-00-2e.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-2a.1 -> 00-00-00-00-00-2b.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-2b.3 -> 00-00-00-00-00-2a.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2b.1 -> 00-00-00-00-00-2c.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2b.2 -> 00-00-00-00-00-2d.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2c.1 -> 00-00-00-00-00-2b.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2d.1 -> 00-00-00-00-00-2b.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-2e.3 -> 00-00-00-00-00-2a.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-2e.2 -> 00-00-00-00-00-30.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2e.1 -> 00-00-00-00-00-2f.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-2f.1 -> 00-00-00-00-00-2e.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-30.1 -> 00-00-00-00-00-2e.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-31.3 -> 00-00-00-00-00-21.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-31.1 -> 00-00-00-00-00-32.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-31.2 -> 00-00-00-00-00-39.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-32.3 -> 00-00-00-00-00-31.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-32.2 -> 00-00-00-00-00-36.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-32.1 -> 00-00-00-00-00-33.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-33.1 -> 00-00-00-00-00-34.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-33.3 -> 00-00-00-00-00-32.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-33.2 -> 00-00-00-00-00-35.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-34.1 -> 00-00-00-00-00-33.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-35.1 -> 00-00-00-00-00-33.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-36.3 -> 00-00-00-00-00-32.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-36.1 -> 00-00-00-00-00-37.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-36.2 -> 00-00-00-00-00-38.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-37.1 -> 00-00-00-00-00-36.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-38.1 -> 00-00-00-00-00-36.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-39.1 -> 00-00-00-00-00-3a.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-39.3 -> 00-00-00-00-00-31.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-39.2 -> 00-00-00-00-00-3d.3
INFO:openflow.discovery:link detected: 00-00-00-00-00-3a.3 -> 00-00-00-00-00-39.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3a.1 -> 00-00-00-00-00-3b.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3a.2 -> 00-00-00-00-00-3c.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3b.1 -> 00-00-00-00-00-3a.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3c.1 -> 00-00-00-00-00-3a.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-3d.3 -> 00-00-00-00-00-39.2
INFO:openflow.discovery:link detected: 00-00-00-00-00-3d.1 -> 00-00-00-00-00-3e.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3d.2 -> 00-00-00-00-00-3f.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3e.1 -> 00-00-00-00-00-3d.1
INFO:openflow.discovery:link detected: 00-00-00-00-00-3f.1 -> 00-00-00-00-00-3d.2
INFO:proto.arp_proxy:number of ARP rules: 32
INFO:proto.runtime:start enforcing policies -- Time == 1447938830720
INFO:proto.runtime:number of rules initially installed == 88
INFO:proto.runtime:policies enforcing finished -- Time == 1447938830856
INFO:proto.runtime:enforcing proactive rules DURATION== 135
INFO:core:Going down...
INFO:core:Down.
